,lstm1.weight_ih_l0,lstm1.weight_hh_l0,lstm1.bias_ih_l0,lstm1.bias_hh_l0,fc1.weight,fc1.bias,fc2.weight,fc2.bias,fc3.weight,fc3.bias,fc4.weight,fc4.bias,fc5.weight,fc5.bias
0,0.0003596947353798896,0.0003616759495344013,0.0008432361646555364,0.0008432361646555364,0.0018134021665900946,0.0028099168557673693,0.003215502481907606,0.0045205517672002316,0.004037441220134497,0.008573822677135468,0.004833087790757418,0.020692063495516777,0.012442941777408123,0.04437350481748581
1,0.0008390596485696733,0.0007624650024808943,0.0017638937570154667,0.0017638937570154667,0.004171348176896572,0.006126078311353922,0.009171760641038418,0.01891237497329712,0.014994635246694088,0.034570153802633286,0.021578244864940643,0.09386756271123886,0.06431905925273895,0.22836168110370636
2,0.0003095542488154024,0.0003090072132181376,0.0007172531331889331,0.0007172531331889331,0.0014464546693488955,0.0022767328191548586,0.002664308762177825,0.0033774019684642553,0.002202552743256092,0.0035894864704459906,0.002389489905908704,0.009897024370729923,0.007809199392795563,0.026819884777069092
3,0.0004710057401098311,0.0003836289397440851,0.0008756481111049652,0.0008756481111049652,0.001897923881188035,0.0028514890000224113,0.003648828947916627,0.006624196656048298,0.005483002867549658,0.012197849340736866,0.008129395544528961,0.034092843532562256,0.027158483862876892,0.0926908478140831
4,0.00035740152816288173,0.0002596166741568595,0.0005829555448144674,0.0005829555448144674,0.0015977434813976288,0.0021212571300566196,0.002661206293851137,0.003715071827173233,0.002191611798480153,0.004195128567516804,0.0025907426606863737,0.0115485405549407,0.009420636110007763,0.03137356787919998
5,0.0008523312280885875,0.0005672311526723206,0.0012561494950205088,0.0012561494950205088,0.0030247014947235584,0.004106852691620588,0.005255571566522121,0.011043000966310501,0.008545911870896816,0.020554393529891968,0.013814516365528107,0.05777411162853241,0.045893508940935135,0.1570245772600174
6,0.0017662834143266082,0.0015928952489048243,0.0036795756313949823,0.0036795756313949823,0.00814739614725113,0.01256792712956667,0.01657203771173954,0.03677720949053764,0.029323456808924675,0.06919559836387634,0.04384380951523781,0.19460712373256683,0.1554679274559021,0.5315511226654053
7,0.0005413065082393587,0.0004915914032608271,0.0011362249497324228,0.0011362249497324228,0.002714304719120264,0.004077360965311527,0.005149425007402897,0.010195107199251652,0.008598140440881252,0.020102830603718758,0.013112662360072136,0.05673284828662872,0.04561758041381836,0.1541735678911209
8,0.00024863111320883036,0.00022465827350970358,0.0005151453078724444,0.0005151453078724444,0.0012738960795104504,0.0015859589911997318,0.0016983250388875604,0.002946433611214161,0.002068747766315937,0.004702979698777199,0.0031186386477202177,0.013383256271481514,0.010870049707591534,0.03612074255943298
9,0.0002518204564694315,0.00021735281916335225,0.0004989362205378711,0.0004989362205378711,0.001333708642050624,0.0017474704654887319,0.002361297607421875,0.0021782643161714077,0.001989577431231737,0.003360085655003786,0.0022345955949276686,0.009012878872454166,0.007470794953405857,0.024190668016672134
10,0.0004487811529543251,0.00027369061717763543,0.0005929393228143454,0.0005929393228143454,0.0018765522399917245,0.002071967115625739,0.0028069999534636736,0.002878662897273898,0.0027792786713689566,0.005297699011862278,0.003620469244197011,0.015121597796678543,0.012698091566562653,0.040363751351833344
11,0.0006606838433071971,0.000582082022447139,0.0013408784288913012,0.0013408784288913012,0.0027815261855721474,0.0047198934480547905,0.005546412896364927,0.011612050235271454,0.009741969406604767,0.02194497548043728,0.015422026626765728,0.06284159421920776,0.05230415612459183,0.16704124212265015
12,0.0002967862819787115,0.0002662707702256739,0.000612452335190028,0.000612452335190028,0.0013619675301015377,0.0021094493567943573,0.0022590740118175745,0.001947461161762476,0.0016842306358739734,0.0027107775676995516,0.0020610203500837088,0.007467365823686123,0.006089337635785341,0.019844375550746918
