time,target,hit
1635188100,1812.4599999999996,1636129200.0
1635188700,1804.9700000000003,1635210000.0
1635189600,1803.5699999999997,1635212100.0
1635190500,1801.3799999999999,1635222900.0
1635199200,1807.71,1635200100.0
1635205800,1804.5099999999998,1635211800.0
1635206400,1804.3699999999997,1635211800.0
1635207900,1810.2400000000005,1636126800.0
1635209400,1803.1,1635212100.0
1635227400,1806.4400000000003,1635427500.0
1635228600,1801.6300000000006,1635233100.0
1635230100,1801.7799999999997,1635233100.0
1635231600,1795.2100000000003,1635251100.0
1635237000,1797.9200000000003,1635251100.0
1635237600,1807.1099999999997,1635427800.0
1635239700,1797.4999999999998,1635251100.0
1635247800,1809.1599999999994,1635427800.0
1635251700,1785.0700000000002,1635257400.0
1635270000,1795.1399999999996,1635336600.0
1635271800,1799.6399999999996,1635387000.0
1635282000,1795.5999999999997,1635336900.0
1635286500,1790.42,1635298500.0
1635288600,1796.1000000000004,1635341700.0
1635290400,1791.45,1635296400.0
1635292800,1789.68,1635299100.0
1635293400,1796.5799999999995,1635341700.0
1635294900,1789.7699999999995,1635299100.0
1635318900,1784.7500000000005,1635323400.0
1635320700,1778.7899999999997,1635511800.0
1635326100,1790.3200000000006,1635333600.0
1635327300,1776.9900000000002,1635511800.0
1635328500,1790.6000000000004,1635334500.0
1635329400,1779.2600000000002,1635511800.0
1635331800,1792.74,1635336600.0
1635332700,1785.1300000000003,1635344100.0
1635334200,1794.31,1635336600.0
1635344100,1779.4600000000005,1635511800.0
1635344700,1793.4100000000003,1635346500.0
1635359100,1803.5399999999997,1635402600.0
1635375300,1790.92,1635496500.0
1635379200,1800.0600000000004,1635387900.0
1635380400,1798.9200000000003,1635386700.0
1635382200,1790.4599999999998,1635509100.0
1635385200,1801.4000000000003,1635388200.0
1635403200,1799.6199999999994,1635412200.0
1635404400,1806.3099999999995,1635423600.0
1635412200,1797.0800000000002,1635414300.0
1635421800,1800.0900000000001,1635424200.0
1635423300,1806.0399999999995,1635423600.0
1635425700,1779.3600000000001,1635511800.0
1635426600,1809.5599999999993,1635427800.0
1635432000,1774.9499999999998,1635515100.0
1635433200,1792.2400000000007,1635495900.0
1635433800,1803.7300000000002,1635435300.0
1635436200,1796.5899999999995,1635472500.0
1635438600,1797.9199999999998,1635450600.0
1635439200,1806.0299999999995,1636125300.0
1635441000,1807.8200000000002,1636125900.0
1635442200,1795.04,1635477300.0
1635446100,1802.1200000000001,1636118700.0
1635448800,1797.9500000000003,1635450600.0
1635464400,1795.75,1635473100.0
1635467100,1801.7100000000005,1636118700.0
1635470400,1805.58,1636125300.0
1635472800,1786.5599999999997,1635509400.0
1635489000,1802.1100000000001,1636118700.0
1635492900,1788.4500000000005,1635509100.0
1635493800,1791.4,1635496500.0
1635499800,1807.08,1636125900.0
1635503700,1792.3399999999997,1635508800.0
1635505200,1798.5499999999997,1636035900.0
1635506100,1791.2099999999996,1635508800.0
1635528900,1792.93,1635775200.0
1635719400,1775.4299999999998,1635943200.0
1635727500,1779.6200000000001,1635908700.0
1635728700,1785.6899999999996,1635732300.0
1635729900,1784.3799999999999,1635731100.0
1635747000,1784.0800000000004,1635747300.0
1635752100,1787.7100000000005,1635761400.0
1635753000,1780.3500000000001,1635906900.0
1635758400,1780.4900000000002,1635906900.0
1635760800,1789.2399999999993,1635769200.0
1635761700,1791.82,1635774900.0
1635765600,1780.5900000000004,1635905700.0
1635767400,1790.2400000000007,1635769200.0
1635791700,1797.8099999999995,1636034400.0
1635794700,1793.2800000000007,1635796800.0
1635805200,1789.35,1635816000.0
1635813600,1787.1800000000003,1635861900.0
1635827100,1797.0600000000006,1636034400.0
1635841500,1790.06,1635853500.0
1635843300,1796.5,1636034400.0
1635843900,1790.9199999999998,1635851700.0
1635846900,1801.6199999999994,1636118700.0
1635847800,1789.9099999999996,1635853500.0
1635849000,1786.5000000000005,1635863100.0
1635855000,1798.7399999999996,1636100400.0
1635855600,1782.9300000000003,1635899400.0
1635857700,1783.35,1635899400.0
1635886800,1786.04,1635895200.0
1635893400,1783.4799999999998,1635899100.0
1635894600,1789.8399999999995,1636029900.0
1635895500,1782.4099999999996,1635904800.0
1635897000,1792.16,1636030500.0
1635898500,1782.8900000000006,1635899400.0
1635924000,1784.4799999999996,1635938700.0
1635925200,1773.8500000000004,1635944700.0
1635927900,1785.1600000000003,1635939000.0
1635933300,1784.3600000000001,1635938700.0
1635934200,1780.7799999999995,1635934200.0
1635934800,1783.2299999999996,1635937200.0
1635943200,1773.44,1635945000.0
1635962700,1750.57,1657118700.0
1635963600,1775.4000000000003,1635978300.0
1635999600,1769.8799999999999,1638292800.0
1636002300,1772.6399999999996,1636005900.0
1636002900,1778.0799999999995,1636021800.0
1636004100,1779.3799999999997,1636022700.0
1636005600,1771.9899999999996,1636006200.0
1636014000,1777.2100000000003,1636015500.0
1636014900,1780.3300000000004,1636026000.0
1636046100,1794.42,1636074600.0
1636048200,1787.4699999999993,1636115400.0
1636048800,1796.4300000000005,1636088700.0
1636049400,1790.4199999999994,1636064100.0
1636056000,1797.44,1636095900.0
1636058100,1787.9499999999994,1636115400.0
1636063200,1787.96,1636115400.0
1636072200,1784.46,1637683800.0
1636074300,1797.2599999999998,1636095900.0
1636090500,1796.8300000000004,1636095300.0
1636092900,1799.1100000000006,1636100400.0
1636093800,1789.4400000000003,1636115400.0
1636095000,1799.4200000000003,1636100700.0
1636103400,1790.9,1636115400.0
1636105500,1803.5199999999995,1636125000.0
1636107600,1788.89,1636115400.0
1636121100,1816.4700000000003,1636140000.0
1636330800,1810.39,1637601900.0
1636333200,1815.93,1636333200.0
1636335600,1820.5800000000004,1636350900.0
1636336200,1812.4799999999998,1636361700.0
1636338600,1824.8600000000004,1636380900.0
1636348500,1816.3500000000004,1636354200.0
1636349700,1823.3099999999995,1636377900.0
1636352700,1816.7299999999998,1636353300.0
1636368600,1819.9299999999998,1636377600.0
1636370100,1815.5,1636370700.0
1636370700,1812.5299999999993,1637591400.0
1636371900,1818.94,1636377600.0
1636373700,1809.36,1637601900.0
1636374600,1819.5299999999997,1636377600.0
1636395300,1825.3500000000006,1636395600.0
1636405800,1826.9900000000005,1636438500.0
1636414200,1818.8599999999994,1636444500.0
1636420800,1827.4800000000002,1636464600.0
1636422000,1821.3799999999997,1636426200.0
1636423500,1833.98,1636551000.0
1636424100,1821.6599999999999,1636426200.0
1636434000,1826.8399999999997,1636438500.0
1636434600,1819.47,1636444200.0
1636437300,1828.0800000000002,1636464600.0
1636439700,1821.2200000000003,1636443300.0
1636441500,1828.8800000000006,1636464600.0
1636444200,1818.0099999999995,1637590800.0
1636465200,1843.4599999999996,1636551300.0
1636471500,1812.0999999999997,1637591400.0
1636473600,1832.6099999999994,1636551000.0
1636480800,1827.2700000000007,1636481400.0
1636482600,1834.7100000000003,1636551000.0
1636502400,1832.6000000000001,1636551000.0
1636505400,1824.5000000000005,1636523100.0
1636534200,1828.8600000000001,1636551000.0
1636534800,1829.11,1636551000.0
1636536600,1819.76,1637590500.0
1636538400,1821.2800000000002,1637590500.0
1636539900,1822.6699999999998,1636542600.0
1636543500,1812.25,1637591400.0
1636546800,1830.3699999999994,1636551000.0
1636548000,1821.1399999999999,1637590500.0
1636549500,1831.36,1636551000.0
1636550100,1823.5299999999995,1636551000.0
1636550700,1820.1699999999998,1637590500.0
1636551600,1869.44,1636982100.0
1636567200,1843.3500000000004,1636569300.0
1636586400,1855.2199999999996,1636609800.0
1636594500,1844.9799999999998,1636596000.0
1636602000,1853.67,1636609500.0
1636604100,1844.7499999999998,1637343600.0
1636606800,1853.6200000000006,1636609500.0
1636634400,1850.59,1636707600.0
1636637700,1852.8599999999997,1636704900.0
1636638600,1877.9599999999998,1644895500.0
1636641000,1869.7000000000005,1636982100.0
1636643700,1845.4199999999996,1636714800.0
1636649100,1865.93,1636741500.0
1636652400,1858.68,1636679700.0
1636653600,1858.8899999999996,1636679700.0
1636655700,1864.2099999999998,1636730400.0
1636656300,1863.1499999999999,1636658400.0
1636657800,1865.1099999999997,1636730700.0
1636661400,1856.8900000000003,1636683900.0
1636662300,1865.6400000000003,1636740300.0
1636665000,1860.7900000000006,1636675500.0
1636666800,1860.8100000000002,1636675200.0
1636667400,1863.0099999999998,1636730400.0
1636672200,1865.5600000000004,1636740300.0
1636676400,1857.23,1636683600.0
1636696200,1856.32,1636703700.0
1636697700,1849.08,1636713000.0
1636700400,1864.1,1636730400.0
1636706100,1831.8999999999994,1637589600.0
1636720800,1848.9600000000003,1637097900.0
1636722000,1857.2400000000002,1636723500.0
1636745400,1860.6299999999997,1636939800.0
1636746300,1868.3000000000006,1636982100.0
1636920000,1864.14,1636920000.0
1636932300,1878.43,1644895500.0
1636933500,1862.74,1636938600.0
1636935000,1861.4299999999994,1636938900.0
1636936800,1868.3399999999995,1636982100.0
1636939800,1857.36,1636940700.0
1636955400,1860.42,1636962000.0
1636956900,1853.6399999999994,1637080800.0
1636962000,1861.9499999999996,1636962600.0
1636966500,1855.1799999999996,1637079900.0
1636967700,1864.4699999999996,1636971900.0
1636979400,1855.9900000000002,1637079900.0
1636980600,1866.0799999999997,1636981800.0
1636986300,1857.6199999999994,1637079600.0
1636994100,1878.5600000000004,1644895500.0
1636995900,1860.9499999999996,1637071800.0
1637000400,1868.2400000000005,1637030100.0
1637001600,1867.64,1637004600.0
1637009100,1866.2900000000002,1637028000.0
1637009700,1867.2000000000005,1637028300.0
1637011200,1861.3699999999997,1637020500.0
1637013300,1865.6200000000003,1637027700.0
1637017500,1860.6300000000003,1637072100.0
1637018100,1864.6899999999996,1637024700.0
1637021100,1853.4999999999995,1637085000.0
1637026200,1860.9799999999998,1637071800.0
1637027100,1867.2900000000002,1637028300.0
1637043000,1863.35,1637046600.0
1637044200,1863.9799999999998,1637046600.0
1637052000,1867.2899999999995,1637052600.0
1637070600,1863.0800000000002,1637071500.0
1637108400,1856.4999999999995,1637133900.0
1637125800,1850.38,1637343600.0
1637130300,1855.6699999999994,1637131800.0
1637132100,1850.4400000000005,1637343600.0
1637134200,1864.6900000000007,1637153100.0
1637175600,1862.33,1637230500.0
1637179500,1868.1000000000004,1637194800.0
1637180100,1861.7099999999998,1637231100.0
1637181600,1866.7199999999998,1637182800.0
1637190900,1864.6899999999998,1637204700.0
1637192100,1863.18,1637217600.0
1637193000,1868.94,1637194800.0
1637204100,1861.5300000000002,1637231100.0
1637220000,1862.3899999999999,1637230500.0
1637223000,1880.12,1645086300.0
1637224200,1864.28,1637224800.0
