start,end,high_risk,low_risk,high_reward,low_reward,direction
1610114700,1610141400.0,1891.97,1889.56,1889.56,1882.3299999999997,Short
1610142300,1610324100.0,1847.57,1845.31,1854.35,1847.57,Long
1610324400,1610324700.0,1847.51,1845.07,1845.07,1837.7499999999998,Short
1610325000,1610325300.0,1844.07,1842.01,1850.2499999999998,1844.07,Long
1610325900,1610342100.0,1845.04,1843.86,1843.86,1840.3199999999997,Short
1610343000,1610366700.0,1835.32,1833.2,1841.6799999999996,1835.32,Long
1610367000,1610377800.0,1849.86,1847.7,1847.7,1841.2200000000005,Short
1610381700,1610381730.0,1850.48,1847.1,1847.1,1836.9599999999996,Short
1610382600,1610392500.0,1850.42,1847.2,1860.0800000000002,1850.42,Long
1610394000,1610394300.0,1848.59,1846.4,1855.1599999999994,1848.59,Long
1610394600,1610397600.0,1848.71,1847.0,1847.0,1841.87,Short
1610398800,1610408400.0,1847.18,1844.0,1844.0,1834.4599999999998,Short
1610408700,1610409600.0,1848.27,1846.4,1853.8799999999997,1848.27,Long
1610411100,1610416200.0,1848.11,1843.2,1843.2,1828.4700000000005,Short
1610418000,1610448900.0,1846.75,1843.6,1856.2000000000003,1846.75,Long
1610449800,1610450100.0,1861.15,1859.4,1859.4,1854.15,Short
1610450700,1610450730.0,1861.25,1859.0,1868.0,1861.25,Long
1610454000,1610457300.0,1858.71,1856.2,1866.24,1858.71,Long
1610458200,1610474700.0,1850.51,1846.8,1846.8,1835.6699999999998,Short
1610475900,1610515800.0,1843.72,1839.8,1855.4800000000002,1843.72,Long
1610517300,1610520600.0,1858.41,1856.7,1856.7,1851.57,Short
1610521800,1610522400.0,1859.79,1858.3,1858.3,1853.83,Short
1610523000,1610523300.0,1860.09,1858.2,1865.7599999999995,1860.09,Long
1610523900,1610541300.0,1860.09,1856.9,1856.9,1847.3300000000006,Short
1610542800,1610543700.0,1855.75,1852.4,1852.4,1842.3500000000004,Short
1610544600,1610547900.0,1854.32,1850.1,1866.98,1854.32,Long
1610548500,1610559300.0,1855.24,1853.0,1861.96,1855.24,Long
1610559600,1610560800.0,1855.98,1853.8,1853.8,1847.2599999999998,Short
1610561400,1610561430.0,1858.47,1856.9,1863.1799999999998,1858.47,Long
1610562600,1610563500.0,1857.34,1853.6,1853.6,1842.3799999999999,Short
1610565300,1610588700.0,1855.67,1852.5,1852.5,1842.9899999999998,Short
1610589600,1610589630.0,1850.43,1848.1,1857.4200000000005,1850.43,Long
1610590500,1610605800.0,1848.25,1846.8,1846.8,1842.4499999999998,Short
1610607000,1610610000.0,1844.01,1842.0,1850.04,1844.01,Long
1610610600,1610616000.0,1837.93,1836.2,1843.1200000000001,1837.93,Long
1610617500,1610619900.0,1842.81,1840.7,1840.7,1834.3700000000003,Short
1610621100,1610623500.0,1840.7,1837.5,1837.5,1827.8999999999999,Short
1610624400,1610626500.0,1841.38,1839.4,1847.3200000000002,1841.38,Long
1610627400,1610631000.0,1842.65,1840.71,1840.71,1834.8899999999999,Short
1610631600,1610632200.0,1842.19,1840.1,1840.1,1833.8299999999995,Short
1610632500,1610652900.0,1841.76,1839.4,1848.8399999999997,1841.76,Long
