start,end,high_risk,low_risk,high_reward,low_reward,direction
1732694760,1732695180.0,2647.43,2646.87,2649.1099999999997,2647.43,Long
1732695360,1732695480.0,2646.37,2646.12,2646.12,2645.37,Short
1732695780,1732696080.0,2648.39,2646.8,2646.8,2642.030000000001,Short
1732696560,1732696590.0,2648.01,2647.89,2648.3700000000013,2648.01,Long
1732696800,1732696830.0,2646.61,2645.37,2645.37,2641.649999999999,Short
1732696920,1732700520.0,2648.01,2648.01,2648.01,2648.01,Long
1732700700,1732702020.0,2649.31,2649.13,2649.13,2648.5900000000006,Short
1732702620,1732702800.0,2648.81,2648.8,2648.8,2648.770000000001,Short
1732702860,1732702890.0,2648.66,2648.66,2648.66,2648.66,Long
1732703400,1732703580.0,2648.1,2647.89,2647.89,2647.2599999999998,Short
1732703880,1732703910.0,2649.65,2649.34,2650.58,2649.65,Long
1732704000,1732704420.0,2649.33,2648.53,2648.53,2646.130000000001,Short
1732704780,1732704810.0,2648.45,2647.0,2647.0,2642.6500000000005,Short
1732704900,1732704930.0,2649.17,2648.36,2651.6,2649.17,Long
1732705020,1732705200.0,2649.01,2648.3,2648.3,2646.17,Short
1732705320,1732705500.0,2648.78,2648.13,2650.7300000000005,2648.78,Long
1732705620,1732706340.0,2648.6,2646.84,2646.84,2641.560000000001,Short
1732706520,1732707120.0,2648.24,2647.13,2647.13,2643.800000000001,Short
1732707300,1732712100.0,2648.71,2647.11,2653.5099999999998,2648.71,Long
1732712220,1732714800.0,2650.96,2650.57,2650.57,2649.4000000000005,Short
1732715040,1732717200.0,2652.79,2651.44,2656.8399999999997,2652.79,Long
1732717440,1732717680.0,2650.98,2650.61,2650.61,2649.5000000000005,Short
1732717800,1732717830.0,2651.78,2649.9,2649.9,2644.2599999999998,Short
1732718340,1732719480.0,2653.54,2652.58,2652.58,2649.7,Short
1732719540,1732719570.0,2652.19,2651.0,2655.76,2652.19,Long
1732719840,1732722600.0,2647.29,2643.23,2643.23,2631.05,Short
1732723140,1732723260.0,2644.0,2643.62,2643.62,2642.4799999999996,Short
1732723560,1732723740.0,2641.68,2641.29,2642.8499999999995,2641.68,Long
1732723860,1732724040.0,2640.95,2640.68,2640.68,2639.87,Short
1732724160,1732724340.0,2641.64,2640.93,2640.93,2638.7999999999997,Short
1732724760,1732724790.0,2641.25,2639.3,2647.0999999999995,2641.25,Long
1732725060,1732725180.0,2640.86,2639.48,2639.48,2635.3399999999997,Short
1732725240,1732725360.0,2639.3,2638.0,2643.2000000000007,2639.3,Long
1732725660,1732726140.0,2642.83,2641.49,2641.49,2637.4699999999993,Short
1732726380,1732727460.0,2642.03,2640.25,2640.25,2634.9099999999994,Short
1732727580,1732727610.0,2641.31,2639.04,2648.12,2641.31,Long
1732728060,1732728300.0,2642.61,2641.58,2645.7000000000007,2642.61,Long
1732728660,1732729800.0,2640.52,2639.82,2639.82,2637.7200000000007,Short
1732730160,1732731720.0,2637.66,2637.27,2637.27,2636.1000000000004,Short
1732732080,1732732200.0,2640.59,2639.62,2643.500000000001,2640.59,Long
1732732380,1732733400.0,2639.09,2638.86,2639.78,2639.09,Long
1732734000,1732734480.0,2638.87,2638.11,2641.149999999999,2638.87,Long
1732734900,1732738200.0,2638.88,2637.6,2637.6,2633.7599999999993,Short
1732738500,1732741020.0,2638.44,2637.73,2640.57,2638.44,Long
1732741200,1732744320.0,2637.35,2636.95,2636.95,2635.7499999999995,Short
1732744380,1732744410.0,2635.6,2635.6,2635.6,2635.6,Long
1732744800,1732748580.0,2635.83,2635.34,2635.34,2633.870000000001,Short
1732748820,1732749240.0,2637.68,2636.1,2642.4199999999996,2637.68,Long
1732749360,1732749390.0,2636.81,2636.69,2636.69,2636.3300000000004,Short
1732749540,1732751580.0,2636.64,2636.59,2636.789999999999,2636.64,Long
1732751760,1732752060.0,2637.11,2637.03,2637.03,2636.7900000000004,Short
1732752240,1732752270.0,2637.06,2636.8,2636.8,2636.020000000001,Short
1732752540,1732752780.0,2636.84,2636.71,2636.71,2636.3199999999997,Short
1732752840,1732752870.0,2636.36,2636.24,2636.720000000001,2636.36,Long
1732753080,1732753110.0,2636.94,2636.37,2638.6500000000005,2636.94,Long
1732753440,1732753680.0,2636.01,2635.48,2635.48,2633.8899999999994,Short
1732753860,1732754460.0,2637.44,2636.11,2641.43,2637.44,Long
1732754580,1732754610.0,2637.57,2636.47,2636.47,2633.1699999999987,Short
1732754760,1732755060.0,2637.37,2636.9,2638.7799999999993,2637.37,Long
1732755180,1732759020.0,2636.88,2636.22,2636.22,2634.239999999999,Short
1732759080,1732762080.0,2627.68,2626.31,2631.7899999999995,2627.68,Long
1732762140,1732762170.0,2627.9,2627.9,2627.9,2627.9,Long
1732762380,1732762500.0,2627.71,2627.18,2627.18,2625.5899999999992,Short
1732762680,1732763820.0,2628.08,2627.77,2627.77,2626.84,Short
1732763880,1732770420.0,2627.65,2627.34,2628.58,2627.65,Long
1732770480,1732771740.0,2631.16,2629.7,2629.7,2625.3199999999997,Short
1732772040,1732772340.0,2633.56,2631.08,2641.0,2633.56,Long
1732772400,1732772430.0,2632.39,2632.3,2632.3,2632.030000000001,Short
1732772580,1732773900.0,2632.07,2631.38,2634.1400000000003,2632.07,Long
1732774140,1732774260.0,2632.56,2632.1,2632.1,2630.72,Short
1732774320,1732779240.0,2632.95,2632.41,2634.5699999999997,2632.95,Long
1732779420,1732779480.0,2637.91,2637.41,2637.41,2635.91,Short
1732779720,1732779780.0,2637.64,2637.04,2639.4399999999996,2637.64,Long
1732779840,1732779870.0,2637.15,2636.96,2636.96,2636.39,Short
1732780140,1732780170.0,2636.02,2635.53,2635.53,2634.060000000001,Short
1732780320,1732780860.0,2637.23,2636.72,2638.7600000000007,2637.23,Long
1732781160,1732782060.0,2636.6,2636.48,2636.48,2636.1200000000003,Short
1732782240,1732782300.0,2637.83,2637.54,2637.54,2636.67,Short
1732782360,1732788780.0,2637.73,2637.49,2638.4500000000007,2637.73,Long
1732788960,1732788990.0,2646.25,2645.37,2648.8900000000003,2646.25,Long
1732789080,1732789200.0,2646.28,2645.68,2645.68,2643.8799999999987,Short
1732789260,1732789380.0,2645.35,2645.17,2645.8899999999994,2645.35,Long
1732789560,1732789920.0,2645.77,2645.26,2645.26,2643.730000000001,Short
1732789980,1732792920.0,2646.07,2645.14,2648.860000000001,2646.07,Long
1732793460,1732796400.0,2646.97,2646.49,2646.49,2645.0499999999997,Short
1732796700,1732796940.0,2646.16,2643.8,2643.8,2636.720000000001,Short
1732797000,1732797060.0,2645.48,2644.79,2647.55,2645.48,Long
1732797180,1732797240.0,2646.27,2644.9,2644.9,2640.7900000000004,Short
1732797300,1732797540.0,2646.07,2645.93,2646.490000000001,2646.07,Long
1732797600,1732798260.0,2646.94,2646.55,2646.55,2645.3800000000006,Short
1732798380,1732798740.0,2645.85,2645.43,2647.11,2645.85,Long
1732799400,1732799580.0,2643.65,2643.24,2643.24,2642.009999999999,Short
1732799820,1732800000.0,2645.15,2644.7,2646.500000000001,2645.15,Long
1732800120,1732800900.0,2646.19,2645.41,2645.41,2643.0699999999993,Short
1732801200,1732801230.0,2646.02,2645.56,2645.56,2644.18,Short
1732801740,1732803240.0,2647.28,2646.97,2648.2100000000014,2647.28,Long
1732803420,1732803450.0,2646.3,2645.84,2645.84,2644.46,Short
1732804260,1732804290.0,2646.68,2645.3,2650.819999999999,2646.68,Long
1732804500,1732810140.0,2646.1,2645.63,2645.63,2644.2200000000007,Short
1732810320,1732814100.0,2640.44,2640.14,2641.3400000000006,2640.44,Long
1732814340,1732814370.0,2641.25,2641.19,2641.19,2641.01,Short
1732814460,1732815660.0,2641.26,2641.03,2641.03,2640.34,Short
1732815780,1732815960.0,2641.15,2641.07,2641.39,2641.15,Long
1732816140,1732816170.0,2641.5,2641.3,2641.3,2640.7000000000007,Short
1732816260,1732817760.0,2641.76,2641.36,2641.36,2640.16,Short
1732817820,1732817880.0,2640.43,2640.43,2640.43,2640.43,Long
1732817940,1732817970.0,2640.42,2640.33,2640.33,2640.0599999999995,Short
1732818240,1732818300.0,2640.81,2640.61,2641.4099999999994,2640.81,Long
1732818360,1732818660.0,2640.81,2640.71,2640.71,2640.4100000000003,Short
1732818960,1732819560.0,2641.26,2641.08,2641.08,2640.539999999999,Short
1732819740,1732819800.0,2640.71,2640.51,2640.51,2639.9100000000008,Short
1732819980,1732820010.0,2640.49,2639.66,2642.9799999999996,2640.49,Long
1732820160,1732836060.0,2639.67,2639.48,2639.48,2638.91,Short
1732836120,1732836150.0,2638.77,2638.7,2638.9800000000005,2638.77,Long
1732836300,1732837200.0,2638.89,2637.6,2637.6,2633.73,Short
1732837320,1732837800.0,2637.73,2637.47,2638.5100000000007,2637.73,Long
1732838040,1732838070.0,2638.44,2637.1,2637.1,2633.0799999999995,Short
1732838160,1732838190.0,2638.8,2637.4,2643.0000000000005,2638.8,Long
1732838340,1732838370.0,2638.79,2638.65,2638.65,2638.2300000000005,Short
1732838640,1732840140.0,2638.1,2637.64,2637.64,2636.2599999999998,Short
1732840320,1732840380.0,2638.35,2637.62,2637.62,2635.43,Short
1732840620,1732840920.0,2638.87,2638.44,2640.1599999999994,2638.87,Long
1732841220,1732842240.0,2638.11,2637.41,2637.41,2635.309999999999,Short
1732842540,1732849620.0,2638.73,2636.81,2644.4900000000002,2638.73,Long
1732849860,1732850400.0,2656.84,2655.26,2655.26,2650.5200000000004,Short
1732850460,1732850580.0,2659.71,2658.07,2664.6299999999997,2659.71,Long
1732850640,1732850880.0,2659.69,2659.4,2659.4,2658.53,Short
1732850940,1732851000.0,2658.78,2657.86,2661.5400000000004,2658.78,Long
1732851240,1732851270.0,2657.28,2657.2,2657.5200000000013,2657.28,Long
1732851420,1732851600.0,2657.41,2656.2,2656.2,2652.5699999999997,Short
1732851840,1732852260.0,2658.29,2657.49,2660.6900000000005,2658.29,Long
1732852560,1732853400.0,2658.32,2657.71,2660.1500000000005,2658.32,Long
1732853460,1732853520.0,2659.98,2659.47,2659.47,2657.939999999999,Short
1732853760,1732854840.0,2660.03,2659.97,2660.2100000000014,2660.03,Long
1732854960,1732855860.0,2658.75,2658.27,2660.19,2658.75,Long
1732856160,1732856280.0,2660.06,2659.63,2661.3499999999995,2660.06,Long
1732856400,1732856430.0,2659.8,2659.55,2659.55,2658.8,Short
