time,open,high,low,close,color,moving_average,color_moving_average
1732587420,2628.6,2628.74,2628.6,2628.74,,2628.308999999998,#26a69a
1732587480,2628.56,2628.82,2628.56,2628.77,,2628.3911999999978,#26a69a
1732587540,2628.65,2628.65,2628.63,2628.63,,2628.4267999999975,#26a69a
1732587600,2628.77,2628.77,2628.13,2628.37,,2628.468799999998,#26a69a
1732587660,2628.89,2629.47,2628.31,2629.47,#450C69,2628.5103999999974,#26a69a
1732587720,2629.05,2629.94,2629.05,2629.94,,2628.4977999999974,#ef5350
1732587780,2628.63,2629.73,2628.63,2629.73,,2628.4587999999976,#ef5350
1732587840,2629.64,2629.89,2629.64,2629.89,,2628.445999999998,#ef5350
1732587900,2629.73,2629.82,2629.67,2629.67,#450C69,2628.435199999998,#ef5350
1732587960,2628.83,2629.82,2628.82,2628.82,#450C69,2628.4091999999982,#ef5350
1732588020,2628.05,2628.62,2628.05,2628.62,,2628.392999999998,#ef5350
1732588080,2628.53,2628.53,2628.05,2628.52,#450C69,2628.379199999998,#ef5350
1732588140,2628.67,2628.67,2628.64,2628.64,,2628.417199999998,#26a69a
1732588200,2628.52,2629.55,2628.52,2629.55,,2628.4225999999976,#26a69a
1732588260,2629.67,2629.67,2628.65,2628.65,,2628.3929999999978,#ef5350
1732588320,2628.36,2628.59,2628.36,2628.59,,2628.3695999999977,#ef5350
1732588380,2628.54,2628.54,2628.2,2628.2,,2628.338399999998,#ef5350
1732588440,2627.97,2628.39,2627.97,2628.39,,2628.307199999998,#ef5350
1732588500,2628.2,2628.65,2628.2,2628.43,,2628.296399999998,#ef5350
1732588560,2628.47,2628.85,2628.02,2628.85,#450C69,2628.312399999998,#26a69a
1732588620,2628.87,2629.03,2628.87,2629.03,,2628.3131999999982,#26a69a
1732588680,2628.98,2628.98,2628.54,2628.54,,2628.324199999998,#26a69a
1732588740,2628.95,2629.05,2628.95,2629.05,,2628.347999999998,#26a69a
1732588800,2628.97,2629.07,2628.27,2628.27,,2628.3473999999983,#ef5350
1732588860,2627.84,2629.07,2627.84,2627.94,#450C69,2628.3037999999983,#ef5350
1732588920,2626.89,2626.89,2625.89,2625.89,,2628.312799999998,#26a69a
1732588980,2626.4,2626.99,2626.19,2626.19,#450C69,2628.295799999998,#ef5350
1732589040,2626.7,2626.7,2625.39,2625.39,,2628.3031999999976,#26a69a
1732589100,2626.19,2626.45,2625.44,2626.45,#450C69,2628.310799999998,#26a69a
1732589160,2627.09,2627.09,2625.44,2626.93,#450C69,2628.309199999998,#ef5350
1732589220,2627.13,2627.13,2626.84,2626.84,,2628.294199999998,#ef5350
1732589280,2626.36,2626.36,2625.91,2626.24,#450C69,2628.252199999998,#ef5350
1732589340,2625.88,2625.88,2625.7,2625.7,,2628.2367999999983,#ef5350
1732589400,2626.24,2626.76,2626.24,2626.41,#450C69,2628.196599999998,#ef5350
1732589460,2626.35,2626.6,2626.02,2626.6,#450C69,2628.167799999998,#ef5350
1732589520,2626.78,2626.8,2626.78,2626.8,,2628.1437999999976,#ef5350
1732589580,2626.67,2626.97,2626.67,2626.97,,2628.118999999998,#ef5350
1732589640,2627.68,2627.68,2626.81,2626.81,,2628.0787999999975,#ef5350
1732589700,2626.97,2626.97,2626.18,2626.18,,2628.0237999999977,#ef5350
1732589760,2626.73,2626.73,2625.75,2625.75,,2627.9667999999974,#ef5350
1732589820,2625.92,2625.92,2625.67,2625.67,,2627.9195999999974,#ef5350
1732589880,2625.77,2625.92,2625.77,2625.85,,2627.8709999999974,#ef5350
1732589940,2625.59,2625.59,2625.42,2625.42,,2627.814999999998,#ef5350
1732590000,2625.85,2625.85,2625.53,2625.53,,2627.7501999999977,#ef5350
1732590060,2625.65,2625.65,2625.23,2625.23,,2627.637999999998,#ef5350
1732590120,2625.21,2625.21,2623.73,2623.73,,2627.5573999999983,#ef5350
1732590180,2623.98,2625.21,2623.98,2624.52,#450C69,2627.4895999999985,#ef5350
1732590240,2624.56,2624.92,2624.56,2624.92,,2627.426799999999,#ef5350
1732590300,2624.52,2625.45,2624.52,2625.45,,2627.3727999999987,#ef5350
1732590360,2625.67,2625.87,2624.59,2625.87,#450C69,2627.3255999999983,#ef5350
1732590420,2626.02,2626.38,2626.02,2626.38,,2627.3149999999982,#ef5350
1732590480,2628.1,2628.24,2626.02,2628.24,#450C69,2627.297199999998,#ef5350
1732590540,2628.33,2628.33,2627.74,2627.74,,2627.289799999998,#ef5350
1732590600,2627.6,2628.0,2627.6,2628.0,,2627.256599999998,#ef5350
1732590660,2627.9,2627.9,2627.6,2627.81,#450C69,2627.214999999998,#ef5350
1732590720,2628.13,2628.13,2627.86,2627.86,,2627.1887999999976,#ef5350
1732590780,2627.92,2628.42,2627.92,2628.42,,2627.1483999999978,#ef5350
1732590840,2627.91,2627.91,2627.87,2627.87,,2627.1121999999978,#ef5350
1732590900,2627.93,2627.93,2627.86,2627.86,,2627.090999999998,#ef5350
1732590960,2628.4,2628.4,2627.76,2627.76,,2627.053999999998,#ef5350
1732591020,2627.28,2627.28,2626.77,2626.77,,2627.024799999998,#ef5350
1732591080,2626.93,2627.28,2626.93,2627.06,#450C69,2626.9997999999982,#ef5350
1732591140,2628.01,2628.01,2627.39,2627.39,,2626.9531999999977,#ef5350
1732591200,2627.06,2627.3,2627.06,2627.22,,2626.9183999999977,#ef5350
1732591260,2627.21,2627.3,2626.91,2626.91,,2626.8923999999984,#ef5350
1732591320,2627.71,2627.71,2627.29,2627.29,,2626.881199999998,#ef5350
1732591380,2627.43,2627.64,2627.21,2627.64,#450C69,2626.8789999999985,#ef5350
1732591440,2627.79,2628.28,2627.79,2628.28,,2626.873199999999,#ef5350
1732591500,2627.64,2628.67,2627.64,2628.14,#450C69,2626.8635999999988,#ef5350
1732591560,2628.27,2628.37,2628.14,2628.37,#450C69,2626.8563999999988,#ef5350
